"SPECIES","YEAR","SPI","SPI_SOUTH","SPI_NORTH","SELECTED_PROTECTED_AREA_TYPE","UNION"
"Sorex arcticus",1996,0.00321383416313171,0.00327229009017131,0.00317979102502847,NA,TRUE
"Sorex arcticus",1997,0.00321899795808431,0.00328967865346205,0.00317979102502847,NA,TRUE
"Sorex arcticus",1998,0.0032198534091325,0.00329041163627559,0.00318069555163399,NA,TRUE
"Sorex arcticus",1999,0.0032198534091325,0.00329041163627563,0.00318069555163399,NA,TRUE
"Sorex arcticus",2000,0.00322187843025658,0.00329723069247453,0.00318069555163399,NA,TRUE
"Sorex arcticus",2001,0.00322187843025659,0.00329723069247453,0.00318069555163399,NA,TRUE
"Sorex arcticus",2002,0.00332478310043507,0.00364077799865527,0.00318194804954169,NA,TRUE
"Sorex arcticus",2003,0.0206407054273068,0.00561597529524599,0.0269080852758746,NA,TRUE
"Sorex arcticus",2004,0.0244215783106751,0.00856285652220755,0.0310310919640448,NA,TRUE
"Sorex arcticus",2005,0.0295680373280503,0.0140480754412507,0.036049326151451,NA,TRUE
"Sorex arcticus",2006,0.0295680373280495,0.0140480754412507,0.036049326151451,NA,TRUE
"Sorex arcticus",2007,0.0530364194814028,0.0162896047399939,0.0684203373646703,NA,TRUE
"Sorex arcticus",2008,0.0574129135547244,0.0291121697534715,0.0692376360408061,NA,TRUE
"Sorex arcticus",2009,0.0614974952316701,0.0320685782744539,0.0737853889396028,NA,TRUE
"Sorex arcticus",2010,0.06154100024315,0.0321144212233211,0.0738277817278889,NA,TRUE
"Sorex arcticus",2011,0.0678524462426066,0.0321360146537278,0.0827697920356232,NA,TRUE
"Sorex arcticus",2012,0.0722928783575208,0.0386975130838992,0.0863250006508206,NA,TRUE
"Sorex arcticus",2013,0.0728155039263316,0.0404531642430397,0.0863267856347939,NA,TRUE
"Sorex arcticus",2014,0.0738037581077288,0.0420872390285784,0.0870553634835696,NA,TRUE
"Sorex arcticus",2015,0.0738249481448214,0.0421585943601966,0.0870553634835696,NA,TRUE
"Sorex arcticus",2016,0.0743402839819197,0.0430752179424818,0.0874001796113525,NA,TRUE
"Sorex arcticus",2017,0.075039147630522,0.045341655853022,0.0874367854701696,NA,TRUE
"Sorex arcticus",2018,0.0868477003345673,0.0456036664903842,0.104080384825123,NA,TRUE
"Sorex arcticus",2019,0.089725590236265,0.0518878704430074,0.105515213426108,NA,TRUE
"Sorex arcticus",2020,0.135026409386034,0.0576375273778566,0.167340798012519,NA,TRUE
"Sorex arcticus",2021,0.150197247975942,0.0576487510821049,0.188851863849262,NA,TRUE
"Sorex arcticus",2022,0.150982245999977,0.0602921534154008,0.188851863849262,NA,TRUE
"Sorex arcticus",2023,0.15162458260302,0.061616578388564,0.189255395713524,NA,TRUE
"Sorex cinereus",1876,1.4709972274224e-06,5.3231885644185e-06,0,NA,TRUE
"Sorex cinereus",1900,8.47156429162717e-06,3.06565731867123e-05,0,NA,TRUE
"Sorex cinereus",1919,8.47323801055879e-06,3.06626299768343e-05,0,NA,TRUE
"Sorex cinereus",1925,9.93739037104323e-06,3.06626299768343e-05,2.02100743422402e-06,NA,TRUE
"Sorex cinereus",1927,9.93739037104322e-06,3.06626299768344e-05,2.02100743422402e-06,NA,TRUE
"Sorex cinereus",1931,9.93739037104328e-06,3.06626299768344e-05,2.02100743422402e-06,NA,TRUE
"Sorex cinereus",1937,1.03733981276202e-05,3.22404381878491e-05,2.02100743422402e-06,NA,TRUE
"Sorex cinereus",1938,0.000290934193564363,0.00104752312536872,2.02100743422402e-06,NA,TRUE
"Sorex cinereus",1941,0.000364137106135416,0.00104752312536872,0.000103064884086509,NA,TRUE
"Sorex cinereus",1955,0.000368206933972348,0.00106225086284968,0.000103064884086509,NA,TRUE
"Sorex cinereus",1960,0.000375991570352496,0.0010904216075557,0.000103064884086509,NA,TRUE
"Sorex cinereus",1970,0.000972864992366618,0.00325036434248418,0.000103064884086509,NA,TRUE
"Sorex cinereus",1972,0.000972864992366622,0.00325036434248417,0.000103064884086509,NA,TRUE
"Sorex cinereus",1976,0.000972947011472233,0.00325066115008989,0.000103064884086509,NA,TRUE
"Sorex cinereus",1977,0.000972947011472232,0.00325066115008989,0.000103064884086509,NA,TRUE
"Sorex cinereus",1978,0.00103152574244229,0.00346264362361522,0.000103064884086509,NA,TRUE
"Sorex cinereus",1979,0.00108483091944173,0.00365554236151766,0.000103064884086509,NA,TRUE
"Sorex cinereus",1980,0.00109179239924672,0.00368073429865968,0.000103064884086509,NA,TRUE
"Sorex cinereus",1981,0.00363351325315728,0.0128786166136313,0.000103064884086509,NA,TRUE
"Sorex cinereus",1982,0.00364772111348665,0.0129300314757536,0.000103064884086509,NA,TRUE
"Sorex cinereus",1983,0.0039186159698677,0.0139103354319848,0.000103064884086509,NA,TRUE
"Sorex cinereus",1984,0.00396284039766708,0.0139777091403848,0.000138410251815732,NA,TRUE
"Sorex cinereus",1985,0.00424851581804648,0.0150115004368944,0.000138410251815732,NA,TRUE
"Sorex cinereus",1986,0.00424890689988578,0.0150129156689125,0.000138410251815732,NA,TRUE
"Sorex cinereus",1987,0.00437241945212641,0.0154598781739347,0.000138410251815732,NA,TRUE
"Sorex cinereus",1988,0.00438726942990463,0.0155136167061476,0.000138410251815732,NA,TRUE
"Sorex cinereus",1989,0.00439859267235748,0.0155545928233105,0.000138410251815732,NA,TRUE
"Sorex cinereus",1990,0.00441276780246089,0.0156058892425416,0.000138410251815732,NA,TRUE
"Sorex cinereus",1991,0.00461720066773017,0.0157006066829103,0.000384465593358429,NA,TRUE
"Sorex cinereus",1992,0.00465277457167115,0.0158293401673249,0.000384465593358429,NA,TRUE
"Sorex cinereus",1993,0.00513835655501269,0.0160902326599586,0.000955213204292531,NA,TRUE
"Sorex cinereus",1994,0.00520605700031485,0.0163352244447969,0.000955213204292531,NA,TRUE
"Sorex cinereus",1995,0.00535157836606663,0.0163566279906343,0.00114791603316843,NA,TRUE
"Sorex cinereus",1996,0.00551337002034487,0.0167955876515176,0.00120380624198668,NA,TRUE
"Sorex cinereus",1997,0.00551834225352591,0.0168135809789797,0.00120380624198668,NA,TRUE
"Sorex cinereus",1998,0.00568988565822941,0.0174334579471339,0.00120414867794086,NA,TRUE
"Sorex cinereus",1999,0.00569477457807122,0.0174511497834546,0.00120414867794086,NA,TRUE
"Sorex cinereus",2000,0.0059111096118201,0.0182340147380637,0.00120414867794086,NA,TRUE
"Sorex cinereus",2001,0.00606806096292296,0.0188019842909075,0.00120414867794086,NA,TRUE
"Sorex cinereus",2002,0.00614901453364912,0.0190936928586494,0.00120462284897522,NA,TRUE
"Sorex cinereus",2003,0.0194417317880856,0.0201165459626774,0.019162751879482,NA,TRUE
"Sorex cinereus",2004,0.0209225167270711,0.0213849711046462,0.0207236409907178,NA,TRUE
"Sorex cinereus",2005,0.0240981788044013,0.0269442033045675,0.0229977815951385,NA,TRUE
"Sorex cinereus",2006,0.0241015697270008,0.0269564742458026,0.0229977815951385,NA,TRUE
"Sorex cinereus",2007,0.0343717956915782,0.0293136795624771,0.0362868121755885,NA,TRUE
"Sorex cinereus",2008,0.0578792612078092,0.0412797374707634,0.0641745921432296,NA,TRUE
"Sorex cinereus",2009,0.0720237685361416,0.0442509968757168,0.0825652768366515,NA,TRUE
"Sorex cinereus",2010,0.0720571890492988,0.0443298623426878,0.0825813259111826,NA,TRUE
"Sorex cinereus",2011,0.0745282207326629,0.0443968725371351,0.085966594861133,NA,TRUE
"Sorex cinereus",2012,0.0769369123523829,0.0496057206358642,0.0873125268072429,NA,TRUE
"Sorex cinereus",2013,0.0943532592457593,0.0504472894817589,0.111031756993491,NA,TRUE
"Sorex cinereus",2014,0.0949733465612596,0.0519832194880567,0.111307582214465,NA,TRUE
"Sorex cinereus",2015,0.0950383018360411,0.0522182771547009,0.111307582214465,NA,TRUE
"Sorex cinereus",2016,0.097058760431845,0.0530974043038776,0.113761142842305,NA,TRUE
"Sorex cinereus",2017,0.097584312153254,0.0549629189888592,0.113775001099338,NA,TRUE
"Sorex cinereus",2018,0.102249481261996,0.055332672989994,0.120075939945607,NA,TRUE
"Sorex cinereus",2019,0.103709932219406,0.0580703351246816,0.121047595431568,NA,TRUE
"Sorex cinereus",2020,0.151992109880774,0.063391475039425,0.185663061857314,NA,TRUE
"Sorex cinereus",2021,0.157931651445725,0.0635352405083323,0.193806727627245,NA,TRUE
"Sorex cinereus",2022,0.1587206311248,0.0663903700095434,0.193806727627245,NA,TRUE
"Sorex cinereus",2023,0.160281670913802,0.0716888643892586,0.193959496841705,NA,TRUE
"Sorex dispar",1876,0,0,NA,NA,TRUE
"Sorex dispar",1900,0.000174554122452177,0.000174554122452169,NA,NA,TRUE
"Sorex dispar",1919,0.000174554122452172,0.000174554122452169,NA,NA,TRUE
"Sorex dispar",1925,0.000174554122452172,0.000174554122452169,NA,NA,TRUE
"Sorex dispar",1927,0.00017455412245216,0.000174554122452173,NA,NA,TRUE
"Sorex dispar",1931,0.00017455412245217,0.000174554122452173,NA,NA,TRUE
