"year","new_protected_area_km2","protected_area_km2","protected_area_pct","new_protected_area_north_km2","protected_area_north_km2","protected_area_north_pct","new_protected_area_south_km2","protected_area_south_km2","protected_area_south_pct","new_protected_area_endangered_km2","protected_area_endangered_km2","protected_area_endangered_pct","new_protected_area_terrestrial_km2","protected_area_terrestrial_km2","protected_area_terrestrial_pct"
2012,3122.694651947629,123253.24625650884,0.07332872813732903,3122.694651947629,101479.37279856342,0.08079114907815017,1772.8147987748828,21742.714910360104,0.05118791664114443,2801.2050422674724,78933.39870300268,0.06263182447463107,"","",""
2013,26823.072525198735,150076.31878170758,0.08928694305456322,26823.072525198735,127298.8487900444,0.10134690416828204,1003.5962834165275,22746.31119377663,0.053550639194821906,21703.36420406859,100636.76290707127,0.07985294151347595,"","",""
2014,805.192581542563,150881.51136325015,0.08976598721529266,805.192581542563,127595.50318072541,0.10158308072752992,508.5376866959591,23254.84888047259,0.05474786708576343,734.817020346547,101371.57992741781,0.08043600180728748,"","",""
2015,272.6761941087554,151154.1875573589,0.08992821416764174,272.6761941087554,127595.50318072541,0.10158308072752992,272.6761863257256,23527.525066798316,0.05538981662855102,272.67617874667604,101644.2561061645,0.08065236404236537,"","",""
2016,5706.671497384678,156860.85905474357,0.09332336176424037,5706.671497384678,132974.59692608024,0.10586555856220232,327.56604129638004,23855.091108094697,0.05616099094075061,392.0001441587607,102036.25625032326,0.08096340708151488,"","",""
2017,702.426907651091,157563.28596239467,0.09374126614657441,702.426907651091,132987.59649995153,0.10587590796111587,689.4273337797981,24544.518441874494,0.05778407936540871,695.3564671754599,102731.61271749872,0.08151515633994097,"","",""
2018,10757.797531069331,168321.08349346402,0.10014154877175155,10757.797531069331,143621.12773733574,0.11434162058561129,124.25898165836212,24668.777423532854,0.05807661681628661,6008.172946486365,108739.78566398508,0.08628250247707425,"","",""
2019,1916.264706097468,170237.34819956147,0.10128161816497581,1916.264706097468,144532.57188212057,0.1150672519897774,1004.8167032643395,25673.594126797194,0.06044221255069128,1016.8420164472732,109756.62768043236,0.08708934307609857,"","",""
2020,96014.38959366722,266251.7377932287,0.15840476327981545,96014.38959366722,227124.23147721926,0.18082125597051457,13418.208379384856,39091.80250618205,0.09203210989466018,65382.44961962269,175139.07730005504,0.13896880317265006,"","",""
2021,8745.289387613684,274997.0271808424,0.16360771709615543,8745.289387613684,234830.6247414064,0.18695657539446955,1038.8956178269366,40130.69812400899,0.09447793611753157,6831.0009905615025,181970.07829061654,0.14438904431337019,"","",""
2022,1162.9417348843783,276159.9689157268,0.16429960182054976,1162.9417348843783,234927.9409509559,0.18703405210896443,1065.6255253348966,41196.32364934388,0.09698669138505005,1150.0813079310055,183120.15959854756,0.14530160720554866,"","",""
